complex_d	gvkey	fyear	complexity_index_ASC	lnaudit_fees_w	lnfilinglength	delay_w	fog_w	ln_num_words	mkvalt	size	roa_w	numest_next_w	held_pct
3	142460	2005	4	14.79834	13.64454	65	22.30844609	6.025866	10852.9832	8.832296	0.061683104	16	0.414788436
3	130200	2007	5	13.97678	12.99046	74	21.38971932	10.33042	533.9958	6.782456	0.037210125	12	0.853474795
3	7866	2005	3	14.94885	13.03585	60	18.94139835	10.19631	3840.9451	8.419147	0.057302202	15	0.779974006
1	62965	2004	1		12.80923	74	19.41386745	10.14486	476.7053	5.223933	0.102389814	4	
2	28590	2008	5	15.64521	14.25318	61	19.14891925	11.06829	1228.416	7.504282	0.100947241	7	0.968176131
2	18699	2010	3	14.89508	14.88557	54	19.85356538	10.58512	2263.24	7.175539	0.018643311	8	
2	14592	2008	5	15.82908	14.85753	54	20.50122386	11.80721	1877.836	7.37866	0.152816025	8	0.408980347
2	24171	2007	4	13.91055	12.88731	75	19.06767139	10.88078	323.2964	6.858528	0.054037701	1	1.330579931
1	11440	2002	0	12.90917	13.18505	86	19.36330242	9.628919	90.6043	6.111609	0.022446926	1	0.227166602
2	10631	2003	3	12.95039	13.0434	69	18.5333384	10.50592	6126.851	6.90899	0.140798973	16	0.063030191
2	11580	2010	3	14.5599	15.12385	49	20.35974601	11.1916	2216.912	7.416519	0.066643699	8	0.631942196
3	14311	2009	6	13.56191	12.97803	60	20.00178738	10.22183	1424.4322	6.638113	0.132281285	9	0.796513413